SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,SHARED_TIME,TITLEI_STATUS,TITLEI_STATUS_TEXT,MAGNET_TEXT,NSLP_STATUS,NSLP_STATUS_TEXT,VIRTUAL,VIRTUAL_TEXT
2017-2018,6,CALIFORNIA,CA,Method Schools High,1,,CA-1975309,600001,CA-1975309-0131557,60000113853,613853,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,iLEAD Hybrid,1,,CA-1975309,600001,CA-1975309-0131987,60000113859,613859,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,Method Schools K-8,1,,CA-1975309,600001,CA-1975309-0131540,60000113867,613867,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,Albert Einstein Academy for Letters Arts and Sciences-STEAM,1,,CA-1975309,600001,CA-1975309-0132191,60000113903,613903,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Community Collaborative Charter,1,,CA-1975309,600001,CA-1975309-0132654,60000113904,613904,Missing,MISSING,Missing,No,NSLPNO,No,FACEVIRTUAL,Virtual with face to face options
2017-2018,6,CALIFORNIA,CA,Empower Generations,1,,CA-1975309,600001,CA-1975309-0134619,60000114042,614042,Missing,MISSING,Missing,No,NSLPNO,No,FACEVIRTUAL,Virtual with face to face options
2017-2018,6,CALIFORNIA,CA,Compass Charter Schools of Los Angeles,1,,CA-1975309,600001,CA-1975309-0135145,60000114045,614045,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,Pathways Academy Charter Adult Education,1,,CA-1975309,600001,CA-1975309-0134585,60000114062,614062,Missing,MISSING,Missing,No,NSLPNO,No,SUPPVIRTUAL,Supplemental Virtual
2017-2018,6,CALIFORNIA,CA,Options for Youth-Acton,1,,CA-1975309,600001,CA-1975309-0136648,60000114202,614202,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,iLEAD Online,1,,CA-1975309,600001,CA-1975309-0136531,60000114203,614203,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,California School for the Blind,1,,CA-0131609,600002,CA-0131609-0131755,60000210346,610346,Missing,MISSING,Missing,Yes,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,California School for the Deaf-Fremont,1,,CA-0131617,600003,CA-0131617-0131763,60000310347,610347,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Manor Elementary,1,,CA-2175002,600006,CA-2175002-6024277,60000608773,608773,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,White Hill Middle,1,,CA-2175002,600006,CA-2175002-6024285,60000608774,608774,Missing,TGELGBNOPROG,Title I targeted assistance eligible school-No program,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Brookside Elementary,1,,CA-2175002,600006,CA-2175002-6024681,60000608775,608775,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Wade Thomas Elementary,1,,CA-2175002,600006,CA-2175002-6024731,60000608776,608776,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hidden Valley Elementary,1,,CA-2175002,600006,CA-2175002-0124578,60000612911,612911,Missing,TGELGBNOPROG,Title I targeted assistance eligible school-No program,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,California School for the Deaf-Riverside,1,,CA-3331625,600007,CA-3331625-3330834,60000710348,610348,Missing,MISSING,Missing,No,NSLPPRO2,Yes under Provision 2,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sierra Madre High (Continuation),1,,CA-4275010,600009,CA-4275010-4230173,60000901478,601478,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,SUPPVIRTUAL,Supplemental Virtual
2017-2018,6,CALIFORNIA,CA,Cuyama Valley High,1,,CA-4275010,600009,CA-4275010-4231205,60000908779,608779,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,SUPPVIRTUAL,Supplemental Virtual
2017-2018,6,CALIFORNIA,CA,Cuyama Elementary,1,,CA-4275010,600009,CA-4275010-6045389,60000908780,608780,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,California STEAM Santa Barbara,1,,CA-4275010,600009,CA-4275010-0134866,60000914038,614038,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,Uplift California Santa Barbara,1,,CA-4275010,600009,CA-4275010-0135590,60000914141,614141,Missing,MISSING,Missing,No,NSLPNO,No,FACEVIRTUAL,Virtual with face to face options
2017-2018,6,CALIFORNIA,CA,Valiant Santa Barbara,1,,CA-4275010,600009,CA-4275010-0136630,60000914212,614212,Missing,MISSING,Missing,No,NSLPNO,No,FACEVIRTUAL,Virtual with face to face options
2017-2018,6,CALIFORNIA,CA,Herlong High,1,,CA-1875036,600011,CA-1875036-1833409,60001109065,609065,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,SUPPVIRTUAL,Supplemental Virtual
2017-2018,6,CALIFORNIA,CA,Fort Sage Middle,1,,CA-1875036,600011,CA-1875036-6010714,60001109066,609066,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sierra Primary,1,,CA-1875036,600011,CA-1875036-6096341,60001109068,609068,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mt. Lassen Charter,1,,CA-1875036,600011,CA-1875036-0121657,60001112763,612763,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Washington Elementary,1,,CA-2966415,600012,CA-2966415-6027205,60001206852,606852,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Grizzly Hill,1,,CA-2966415,600012,CA-2966415-6089403,60001209206,609206,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Twin Ridges Special Education Preschool,1,,CA-2966415,600012,CA-2966415-0119883,60001213453,613453,Missing,MISSING,Missing,Missing,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Antelope Creek Elementary,1,,CA-3175085,600013,CA-3175085-6110647,60001300805,600805,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rocklin High,1,,CA-3175085,600013,CA-3175085-3130150,60001302405,602405,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Breen Elementary,1,,CA-3175085,600013,CA-3175085-6111975,60001303571,603571,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Victory High,1,,CA-3175085,600013,CA-3175085-3130200,60001306176,606176,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Twin Oaks Elementary,1,,CA-3175085,600013,CA-3175085-6115844,60001308256,608256,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Granite Oaks Middle,1,,CA-3175085,600013,CA-3175085-6116057,60001308257,608257,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Spring View Middle,1,,CA-3175085,600013,CA-3175085-6100903,60001308553,608553,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rocklin Academy,1,,CA-3175085,600013,CA-3175085-6118392,60001308762,608762,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Valley View Elementary,1,,CA-3175085,600013,CA-3175085-6118517,60001308763,608763,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sierra Elementary,1,,CA-3175085,600013,CA-3175085-6118533,60001308764,608764,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Parker Whitney Elementary,1,,CA-3175085,600013,CA-3175085-6031207,60001309069,609069,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rocklin Elementary,1,,CA-3175085,600013,CA-3175085-6031215,60001309070,609070,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Cobblestone Elementary,1,,CA-3175085,600013,CA-3175085-6109870,60001310270,610270,Missing,TGELGBNOPROG,Title I targeted assistance eligible school-No program,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rock Creek Elementary,1,,CA-3175085,600013,CA-3175085-6119853,60001310575,610575,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Ruhkala Elementary,1,,CA-3175085,600013,CA-3175085-0108050,60001311009,611009,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Whitney High,1,,CA-3175085,600013,CA-3175085-0108084,60001311010,611010,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rocklin Academy at Meyers Street,1,,CA-3175085,600013,CA-3175085-0114371,60001312012,612012,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Maria Montessori Charter Academy,1,,CA-3175085,600013,CA-3175085-0117879,60001312302,612302,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Western Sierra Collegiate Academy,1,,CA-3175085,600013,CA-3175085-0119487,60001312390,612390,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sunset Ranch Elementary,1,,CA-3175085,600013,CA-3175085-0121244,60001312558,612558,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rocklin Independent Charter Academy,1,,CA-3175085,600013,CA-3175085-0128561,60001313722,613722,Missing,TGELGBNOPROG,Title I targeted assistance eligible school-No program,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Topaz Preparatory Academy,1,,CA-3675044,600014,CA-3675044-6111751,60001403904,603904,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sultana High,1,,CA-3675044,600014,CA-3675044-3630746,60001405093,605093,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Shadow Ridge,1,,CA-3675044,600014,CA-3675044-3630811,60001407287,607287,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mesquite Trails Elementary,1,,CA-3675044,600014,CA-3675044-6114680,60001407295,607295,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hesperia Community Day,1,,CA-3675044,600014,CA-3675044-3630944,60001408296,608296,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hesperia High,1,,CA-3675044,600014,CA-3675044-3630407,60001409072,609072,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mojave High,1,,CA-3675044,600014,CA-3675044-3630472,60001409073,609073,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Joshua Circle Elementary,1,,CA-3675044,600014,CA-3675044-6035943,60001409074,609074,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Juniper Elementary,1,,CA-3675044,600014,CA-3675044-6035950,60001409075,609075,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Eucalyptus Elementary,1,,CA-3675044,600014,CA-3675044-6035968,60001409076,609076,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hesperia Junior High,1,,CA-3675044,600014,CA-3675044-6059547,60001409077,609077,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mesa Grande Elementary,1,,CA-3675044,600014,CA-3675044-6089643,60001409078,609078,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Kingston Elementary,1,,CA-3675044,600014,CA-3675044-6100937,60001409079,609079,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Maple Elementary,1,,CA-3675044,600014,CA-3675044-6103337,60001409080,609080,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Cottonwood Elementary,1,,CA-3675044,600014,CA-3675044-6105498,60001409081,609081,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lime Street Elementary,1,,CA-3675044,600014,CA-3675044-6106454,60001409082,609082,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hollyvale Elementary,1,,CA-3675044,600014,CA-3675044-6108112,60001409476,609476,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Carmel Elementary,1,,CA-3675044,600014,CA-3675044-6108120,60001409477,609477,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Ranchero Middle,1,,CA-3675044,600014,CA-3675044-6109359,60001409676,609676,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Summit Leadership Academy-High Desert,1,,CA-3675044,600014,CA-3675044-0107516,60001411118,611118,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Cypress School of the Arts,1,,CA-3675044,600014,CA-3675044-0107805,60001411119,611119,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Pathways to College,1,,CA-3675044,600014,CA-3675044-0112441,60001411746,611746,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mirus Secondary,1,,CA-3675044,600014,CA-3675044-0114389,60001411899,611899,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Canyon Ridge High,1,,CA-3675044,600014,CA-3675044-0115444,60001412100,612100,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Cedar Middle,1,,CA-3675044,600014,CA-3675044-0114108,60001412103,612103,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mission Crest Elementary,1,,CA-3675044,600014,CA-3675044-0114090,60001412171,612171,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,LaVerne Elementary Preparatory Academy,1,,CA-3675044,600014,CA-3675044-0118059,60001412333,612333,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Encore Jr./Sr. High Sch for the Perf and Visual Arts,1,,CA-3675044,600014,CA-3675044-0116707,60001412375,612375,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Krystal School of Science Math & Technology,1,,CA-3675044,600014,CA-3675044-0119107,60001412415,612415,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Oak Hills High,1,,CA-3675044,600014,CA-3675044-0119115,60001412417,612417,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mountain View High,1,,CA-3675051,600015,CA-3675051-3630696,60001503907,603907,Missing,SWELIGNOPROG,Title I schoolwide eligible school-No program,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lucerne Valley Community Day,1,,CA-3675051,600015,CA-3675051-3630795,60001506466,606466,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lucerne Valley Elementary,1,,CA-3675051,600015,CA-3675051-6035976,60001509083,609083,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPPRO2,Yes under Provision 2,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lucerne Valley Middle,1,,CA-3675051,600015,CA-3675051-6106330,60001509084,609084,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lucerne Valley High,1,,CA-3675051,600015,CA-3675051-3630563,60001510305,610305,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPPRO2,Yes under Provision 2,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sky Mountain Charter,1,,CA-3675051,600015,CA-3675051-0115089,60001511860,611860,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Alta Vista Innovation High,1,,CA-3675051,600015,CA-3675051-0136432,60001514154,614154,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hillside High,1,,CA-3675069,600016,CA-3675069-3630456,60001609085,609085,Missing,TGELGBNOPROG,Title I targeted assistance eligible school-No program,No,NSLPNO,No,SUPPVIRTUAL,Supplemental Virtual
2017-2018,6,CALIFORNIA,CA,Upland High,1,,CA-3675069,600016,CA-3675069-3637584,60001609086,609086,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,SUPPVIRTUAL,Supplemental Virtual
2017-2018,6,CALIFORNIA,CA,Baldy View Elementary,1,,CA-3675069,600016,CA-3675069-6037204,60001609087,609087,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Cabrillo Elementary,1,,CA-3675069,600016,CA-3675069-6037212,60001609088,609088,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Citrus Elementary,1,,CA-3675069,600016,CA-3675069-6037220,60001609089,609089,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Foothill Knolls STEM Academy of Innovation,1,,CA-3675069,600016,CA-3675069-6037238,60001609090,609090,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Magnolia Elementary,1,,CA-3675069,600016,CA-3675069-6037246,60001609091,609091,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Pioneer Junior High,1,,CA-3675069,600016,CA-3675069-6037253,60001609092,609092,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sierra Vista Elementary,1,,CA-3675069,600016,CA-3675069-6037261,60001609093,609093,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sycamore Elementary,1,,CA-3675069,600016,CA-3675069-6037279,60001609094,609094,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Upland Elementary,1,,CA-3675069,600016,CA-3675069-6037287,60001609095,609095,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPPRO2,Yes under Provision 2,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Upland Junior High,1,,CA-3675069,600016,CA-3675069-6037295,60001609096,609096,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Valencia Elementary,1,,CA-3675069,600016,CA-3675069-6037311,60001609097,609097,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Pepper Tree Elementary,1,,CA-3675069,600016,CA-3675069-6109573,60001609678,609678,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rio Vista School of Applied Learning,1,,CA-3675077,600017,CA-3675077-6110605,60001701149,601149,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sycamore Rocks Elementary,1,,CA-3675077,600017,CA-3675077-6112825,60001705167,605167,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Academy for Academic Excellence,1,,CA-3675077,600017,CA-3675077-3631207,60001707296,607296,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Granite Hills High,1,,CA-3675077,600017,CA-3675077-3630894,60001708297,608297,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
